month,outlet_id,name,trading_area,company,lat,lng,ms,hsd,ms_ly,hsd_ly
2025-08,146267,MALIYAKKAL FILLING STATION,VENGARA,BPC,11.0512894,75.9845704,177,319,160,244
2025-08,215812,MOOKKAMPARAMBATH AUTO FUELS (2020-21),VALLIKUNNU,BPC,11.12183,75.84632,108,60,108,60
2025-08,116140,KEYTEES PETROLEUM,Valanchery,BPC,10.8867754,76.0728141,100,104,64,80
2025-08,230305,CITY PETROLEUM,VAILATHUR,BPC,10.9703104,75.9658111,96,96,82,86
2025-08,146264,MIYAN PETROLEUM,THIRUNAVAYA,BPC,10.86345,75.97881,64,68,64,56
2025-08,162956,BP-THALAPPARA,THALAPPARA,BPC,11.0741104,75.9036425,180.225,160.278,192.668,201.623
2025-08,149639,P M PETROLEUM,TANUR,BPC,10.96751,75.88492,76,68,80,76
2025-08,189806,AYISHA PETROLEUM,PONNANI(ON SH62),BPC,10.780234,75.9488313,117,77,100,56
2025-08,143244,PARAPPANAD PETROLEUM,PARAPPANANGADI,BPC,11.0424998,75.8614383,52,68,52,80
2025-08,233926,ROYAL FUELS,PALLIKKAL BAZAR,BPC,11.1485197,75.9024727,92,96,80,76
2025-08,219106,MOROOTTIL FUELS (NRO 2020-21),MORAYUR,BPC,11.13336,76.01423,125,227,109,199
2025-08,162537,CHAITHRAM FUELS,KUTTIPURAM (ON NH),BPC,10.8576887,76.0365593,36,48,28,56
2025-08,147927,ITHIKKAL PETROLEUM,KOTTAKKAL (ON SH),BPC,10.9999633,75.9965663,223,283,200,232
2025-08,146933,RISHA PETROLEUM,KALPAKANCHERI,BPC,10.93998,75.98066,144,144,132,132
2025-08,116141,VENGARA PETROLEUM AGENCY,KAKKAD,BPC,11.038625,75.937835,130,130,172,172
2025-08,172015,ANUS FUEL AGENCY,KADAMPUZHA,BPC,10.93927,76.03884,97,107,89,103
2025-08,180272,P.N.M.FUELS,Eramangalam,BPC,10.70267,75.98235,112,80,116,88
2025-08,116136,M.KUTTY HASSAN KUTTY & CO.,Edappal (on SH),BPC,10.7834019,76.0078356,72,84,68,88
2025-08,168865,THANKOM PETRO PARK,CHETTIPADI TO CHELARI,BPC,11.0898756,75.878525,68,40,84,48
2025-08,146265,MALIYAKKAL FUELS,CHEMMAD,BPC,11.0466849,75.9110172,92,100,124,104
2025-08,254121,KOHINOOR PETROLEUM,CHELARI,BPC,11.1194424,75.8932382,0,0,0,0
2025-08,182026,FIDHA PETROLEUM,B.P ANGADI,BPC,10.9037746,75.9219113,108,72,124,104
2025-08,184424,HAJI MUHAMMED ALI SONS,AILATHUR,BPC,10.8715946,75.9338532,112,68,124,92
2025-08,258634,ALOHA PETROLEUM,KONDOTTY,BPC,,,0,0,0,0
2025-08,258702,GREENWAY FUELS,KURUMBATHUR,BPC,,,0,0,0,0
2025-08,259357,ROYAL AUTO FUELS,OTHUKKUNGAL (ON SH),BPC,11.0206781,76.0228274,0,0,0,0
2025-08,41070555,VISTA FUELS,VETTICHIRA,HPCL,10.9135126,76.0454023,0,0,0,0
2025-08,41028327,VENGARA FUELS,VENGARA-POOCHOLAMAD ROAD,HPCL,11.0550999,75.9780664,52,48,52,44
2025-08,41006140,KUNDUPUZHAKKAL FUELS,VENGARA,HPCL,11.0512157,75.9884958,118,218,90,146
2025-08,41072566,NMS PETROLEUM,VATTATHANI,HPCL,10.9589216,75.8958929,84,80,0,0
2025-08,41028341,PRIMO PETROLEUM,VALLIKUNNU,HPCL,11.10483,75.838501,95,75,84,56
2025-08,41074059,MALABAR PETROLEUM,VALIYAPARAMBU,HPCL,11.0006541,76.0487356,57,69,0,0
2025-08,41026048, P ACHUTHAN NAIR & CO-VA,VALANCHERY-KOPPAM ROAD,HPCL,10.8858393,76.0736275,60,108,56,100
2025-08,41072515,MATSYAFED FUELS,VAKKAD,HPCL,10.8965965,75.8927423,100,68,4,8
2025-08,41002036, J&M PETROLEUM,VAILATHUR,HPCL,10.9434552,75.9388991,62,44,64,56
2025-08,41027813,  JAMEELA PETROLEU5,TIRUR(ON SH71),HPCL,10.9181962,75.9257248,76,116,92,124
2025-08,41072571,VORTEX FUELS,TIRUR (ON EZHUR ROAD),HPCL,10.9079172,75.9370621,85,55,0,0
2025-08,41030288, RAHINA PETROLEU5,TIRUR,HPCL,10.9260204,75.9124693,92,76,120,96
